,Years In Business,percent,Year Start,Industry,Region,Capital
0,0,99.1321118611379,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
1,1,96.1427193828351,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
2,2,93.24975891996142,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
3,3,91.22468659594986,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
4,4,89.00675024108004,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
5,5,79.07425265188043,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
6,6,72.22757955641273,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
7,7,66.73095467695275,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
8,8,61.427193828351015,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
9,9,58.53423336547734,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,<1M
0,0,97.70992366412214,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
1,1,95.41984732824427,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
2,2,92.36641221374046,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
3,3,90.07633587786259,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
4,4,89.31297709923665,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
5,5,80.1526717557252,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
6,6,76.33587786259542,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
7,7,73.2824427480916,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
8,8,65.64885496183206,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
9,9,61.06870229007634,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,1M-3M
0,0,89.47368421052632,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,9M-11M
1,1,84.21052631578948,2009,330000 : การผลิตอื่น ๆ,Bangkok and Vicinity,9M-11M
